age,gender,daily_screen_time_min,social_media_time_min,negative_interactions_count,positive_interactions_count,sleep_hours,physical_activity_min,anxiety_level,stress_level,mood_level,mental_state
65,1,154,62,0,1,8.2,45,1,5,7,1
32,1,400,200,1,3,7.0,20,3,8,5,2
45,1,212,106,0,1,7.9,39,2,6,6,2
38,0,225,112,0,1,7.9,38,2,6,6,2
23,1,478,239,1,3,6.6,12,3,8,5,2
21,0,476,262,1,2,6.6,12,3,8,5,2
45,0,249,137,1,1,7.8,35,2,6,6,2
30,0,393,138,1,1,7.0,21,2,7,6,2
19,0,469,117,0,1,6.7,13,2,7,6,2
21,0,482,120,0,1,6.6,12,2,7,6,2
26,1,375,94,0,1,7.1,22,2,6,6,2
32,1,386,251,2,2,7.1,21,4,8,5,2
16,1,459,298,2,3,6.7,14,4,9,4,2
45,1,222,133,1,2,7.9,38,2,6,6,2
25,1,499,200,1,2,6.5,10,3,8,5,2
54,1,212,85,1,1,7.9,39,2,6,6,2
22,0,455,228,1,3,6.7,14,3,8,5,2
36,0,252,139,1,1,7.7,35,2,6,6,2
22,0,505,278,1,2,6.5,10,3,8,5,2
22,0,518,285,1,3,6.4,8,3,8,5,2
32,1,330,182,1,2,7.4,27,3,7,6,2
30,2,328,115,0,1,7.4,27,2,6,6,2
16,1,401,140,1,1,7.0,20,2,7,6,2
24,1,485,121,1,1,6.6,12,2,7,6,2
20,1,498,124,1,1,6.5,10,2,7,6,2
42,0,271,68,0,1,7.6,33,1,6,7,2
43,0,201,131,1,1,8.0,40,2,6,6,2
54,1,154,100,1,1,8.2,45,2,6,6,2
22,0,478,287,1,4,6.6,12,3,8,5,2
38,1,251,151,1,2,7.7,35,2,6,6,2
27,0,395,158,1,1,7.0,20,2,7,6,2
64,0,147,59,0,1,8.3,45,1,5,7,1
21,1,471,236,1,3,6.6,13,3,8,5,2
40,1,268,147,1,1,7.7,33,2,6,6,2
28,1,320,176,1,2,7.4,28,3,7,6,2
39,0,213,117,0,1,7.9,39,2,6,6,2
38,1,226,124,1,1,7.9,37,2,6,6,2
24,0,479,263,1,2,6.6,12,3,8,5,2
38,1,224,78,0,1,7.9,38,1,5,7,1
21,0,477,167,1,1,6.6,12,3,8,5,2
20,1,490,172,1,2,6.6,11,3,8,5,2
24,1,501,125,1,1,6.5,10,2,7,6,2
18,0,454,114,0,1,6.7,15,2,7,6,2
34,0,326,82,0,1,7.4,27,1,6,7,2
26,1,339,85,0,1,7.3,26,1,6,7,2
20,1,472,118,0,1,6.6,13,2,7,6,2
18,1,397,258,2,2,7.0,20,4,9,4,2
23,1,470,306,2,3,6.6,13,4,9,4,2
21,0,483,314,2,3,6.6,12,4,9,4,2
13,0,436,283,2,3,6.8,16,4,9,4,2
35,1,374,224,1,3,7.1,23,3,7,6,2
25,1,507,304,1,4,6.5,9,3,8,5,2
21,2,520,312,1,4,6.4,8,3,8,5,2
40,1,210,84,1,1,8.0,39,2,6,6,2
32,0,343,137,1,1,7.3,26,2,7,6,2
31,1,356,142,1,1,7.2,24,2,7,6,2
21,1,489,196,1,2,6.6,11,3,8,5,2
30,0,367,184,1,2,7.2,23,3,7,6,2
40,1,203,112,0,1,8.0,40,2,6,6,2
26,0,360,126,1,1,7.2,24,2,7,6,2
32,1,397,99,0,1,7.0,20,2,7,6,2
38,1,209,52,0,0,8.0,39,1,5,7,1
23,0,473,307,2,3,6.6,13,4,9,4,2
45,0,246,160,1,1,7.8,35,2,6,6,2
17,1,450,270,1,4,6.8,15,3,8,5,2
18,0,382,229,1,3,7.1,22,3,7,6,2
39,0,226,90,1,1,7.9,37,2,6,6,2
39,0,239,96,1,1,7.8,36,2,6,6,2
24,0,492,197,1,2,6.5,11,3,8,5,2
23,0,505,202,1,2,6.5,10,3,8,5,2
23,1,503,252,1,3,6.5,10,3,8,5,2
31,1,396,198,1,3,7.0,20,3,8,5,2
24,1,459,252,1,2,6.7,14,3,8,5,2
27,1,352,194,1,2,7.2,25,3,7,6,2
23,1,496,174,1,2,6.5,10,3,8,5,2
13,1,449,157,1,1,6.8,15,2,7,6,2
38,1,212,53,0,0,7.9,39,1,5,7,1
24,1,489,318,2,3,6.6,11,4,9,4,2
31,1,382,248,2,2,7.1,22,4,8,5,2
39,1,275,179,1,2,7.6,32,3,7,6,2
21,0,445,267,1,4,6.8,16,3,8,5,2
29,0,362,145,1,1,7.2,24,2,7,6,2
35,1,375,150,1,1,7.1,22,2,7,6,2
23,1,508,203,1,2,6.5,9,3,8,5,2
35,0,320,128,1,1,7.4,28,2,7,6,2
19,1,453,181,1,2,6.7,15,3,8,5,2
13,0,406,162,1,1,7.0,19,2,7,6,2
45,0,279,140,1,2,7.6,32,2,7,6,2
20,1,451,226,1,3,6.7,15,3,8,5,2
43,0,224,112,0,1,7.9,38,2,6,6,2
59,0,175,96,0,1,8.1,42,2,6,6,2
29,0,392,137,1,1,7.0,21,2,7,6,2
19,1,468,117,0,1,6.7,13,2,7,6,2
21,1,481,120,0,1,6.6,12,2,7,6,2
45,0,254,64,0,1,7.7,35,1,5,7,0
21,2,507,127,1,1,6.5,9,2,7,6,2
32,0,385,250,2,2,7.1,22,4,8,5,2
34,1,398,259,2,2,7.0,20,4,9,4,2
33,0,330,214,1,2,7.4,27,3,7,6,2
29,0,341,205,1,3,7.3,26,3,7,6,2
24,0,474,284,1,4,6.6,13,3,8,5,2
61,0,187,112,0,1,8.1,41,2,6,6,2
22,0,498,199,1,2,6.5,10,3,8,5,2
34,1,391,156,1,1,7.0,21,2,7,6,2
20,1,443,177,1,2,6.8,16,3,8,5,2
15,2,394,197,1,3,7.0,21,3,8,5,2
14,2,431,237,1,2,6.8,17,3,8,5,2
40,0,264,145,1,1,7.7,34,2,6,6,2
29,1,327,114,0,1,7.4,27,2,6,6,2
13,1,424,106,0,1,6.9,18,2,7,6,2
21,0,497,124,1,1,6.5,10,2,7,6,2
15,1,450,112,0,1,6.8,15,2,7,6,2
42,0,202,50,0,0,8.0,40,1,5,7,1
30,0,320,208,1,2,7.4,28,3,7,6,2
57,0,153,99,1,1,8.2,45,2,6,6,2
22,0,466,303,2,3,6.7,13,4,9,4,2
69,1,177,106,0,1,8.1,42,2,6,6,2
34,0,370,222,1,3,7.2,23,3,7,6,2
27,1,394,158,1,1,7.0,21,2,7,6,2
25,0,470,235,1,3,6.6,13,3,8,5,2
34,1,363,182,1,2,7.2,24,3,7,6,2
19,0,507,279,1,2,6.5,9,3,8,5,2
29,0,400,220,1,2,7.0,20,3,8,5,2
37,1,223,78,0,1,7.9,38,1,5,7,1
27,1,356,125,1,1,7.2,24,2,7,6,2
34,1,369,129,1,1,7.2,23,2,7,6,2
22,1,500,125,1,1,6.5,10,2,7,6,2
25,1,513,128,1,1,6.4,9,2,7,6,2
29,1,325,81,0,1,7.4,28,1,6,7,2
13,1,396,257,2,2,7.0,20,4,9,4,2
43,0,229,149,1,1,7.9,37,2,6,6,2
37,0,242,157,1,1,7.8,36,2,6,6,2
22,1,495,322,2,3,6.5,10,4,9,4,2
35,0,373,224,1,3,7.1,23,3,7,6,2
38,2,266,160,1,2,7.7,33,2,6,6,2
47,0,149,60,0,1,8.3,45,1,5,7,1
24,1,486,243,1,3,6.6,11,3,8,5,2
55,0,199,100,0,1,8.0,40,2,6,6,2
27,0,392,196,1,3,7.0,21,3,8,5,2
28,0,322,177,1,2,7.4,28,3,7,6,2
60,1,155,85,0,1,8.2,44,1,5,7,1
26,1,348,191,1,2,7.3,25,3,7,6,2
30,1,359,126,1,1,7.2,24,2,7,6,2
29,0,372,130,1,1,7.1,23,2,7,6,2
18,0,445,156,1,1,6.8,16,2,7,6,2
27,1,396,99,0,1,7.0,20,2,7,6,2
36,0,208,52,0,0,8.0,39,1,5,7,1
27,1,341,85,0,1,7.3,26,1,6,7,2
45,1,232,151,1,1,7.8,37,2,6,6,2
49,1,185,120,1,1,8.1,42,2,6,6,2
23,0,509,305,1,4,6.5,9,3,8,5,2
34,1,321,193,1,3,7.4,28,3,7,6,2
43,1,225,90,1,1,7.9,38,2,6,6,2
26,1,358,143,1,1,7.2,24,2,7,6,2
35,1,382,191,1,3,7.1,22,3,7,6,2
47,0,158,87,0,1,8.2,44,1,5,7,1
25,1,495,173,1,2,6.5,10,3,8,5,2
27,0,331,83,0,1,7.3,27,1,6,7,2
22,0,464,116,0,1,6.7,14,2,7,6,2
21,0,477,119,0,1,6.6,12,2,7,6,2
41,1,248,161,1,1,7.8,35,2,6,6,2
14,1,441,287,2,3,6.8,16,4,9,4,2
65,1,144,86,0,1,8.3,46,1,5,7,1
65,0,157,94,0,1,8.2,44,2,6,6,2
20,1,481,192,1,2,6.6,12,3,8,5,2
66,0,194,78,1,1,8.0,41,2,6,6,2
64,1,207,83,1,1,8.0,39,2,6,6,2
45,1,280,112,1,1,7.6,32,2,7,6,2
24,0,518,259,1,3,6.4,8,3,8,5,2
39,0,210,105,0,1,8.0,39,2,6,6,2
21,0,474,261,1,2,6.6,13,3,8,5,2
49,2,187,103,0,1,8.1,41,2,6,6,2
22,0,511,179,1,2,6.4,9,3,8,5,2
28,1,323,113,0,1,7.4,28,2,6,6,2
16,1,396,139,1,1,7.0,20,2,7,6,2
63,1,167,42,0,0,8.2,43,1,5,7,1
27,0,360,90,0,1,7.2,24,2,6,6,2
24,1,504,328,2,3,6.5,10,4,9,4,2
19,0,460,276,1,4,6.7,14,3,8,5,2
31,1,353,212,1,3,7.2,25,3,7,6,2
25,1,497,199,1,2,6.5,10,3,8,5,2
25,1,453,226,1,3,6.7,15,3,8,5,2
32,1,346,173,1,2,7.3,25,3,7,6,2
42,0,239,120,0,2,7.8,36,2,6,6,2
23,0,492,246,1,3,6.5,11,3,8,5,2
13,1,430,237,1,2,6.8,17,3,8,5,2
34,2,383,211,1,2,7.1,22,3,7,6,2
24,1,516,284,1,3,6.4,8,3,8,5,2
66,1,148,81,0,1,8.3,45,1,5,7,1
20,0,446,156,1,1,6.8,15,2,7,6,2
59,1,159,56,0,0,8.2,44,1,5,7,1
21,0,472,165,1,1,6.6,13,3,8,5,2
40,1,243,61,0,1,7.8,36,1,5,7,0
27,0,376,94,0,1,7.1,22,2,6,6,2
34,1,389,97,0,1,7.1,21,2,6,6,2
21,0,441,110,0,1,6.8,16,2,7,6,2
40,1,280,182,1,2,7.6,32,3,7,6,2
24,0,452,294,2,3,6.7,15,4,9,4,2
41,0,225,146,1,1,7.9,38,2,6,6,2
14,0,416,250,1,3,6.9,18,3,8,5,2
19,0,513,205,1,2,6.4,9,3,8,5,2
14,0,385,154,1,1,7.1,22,2,7,6,2
20,0,458,183,1,2,6.7,14,3,8,5,2
22,0,471,188,1,2,6.6,13,3,8,5,2
22,0,469,234,1,3,6.7,13,3,8,5,2
28,0,362,181,1,2,7.2,24,3,7,6,2
23,0,506,278,1,2,6.5,9,3,8,5,2
36,1,279,153,1,1,7.6,32,2,7,6,2
21,2,451,248,1,2,6.7,15,3,8,5,2
32,1,344,189,1,2,7.3,26,3,7,6,2
25,0,462,162,1,1,6.7,14,2,7,6,2
48,1,175,61,0,1,8.1,42,1,5,7,1
34,0,368,129,1,1,7.2,23,2,7,6,2
20,1,501,175,1,2,6.5,10,3,8,5,2
22,1,499,125,1,1,6.5,10,2,7,6,2
58,0,212,53,0,0,7.9,39,1,5,7,1
26,1,335,218,1,2,7.3,26,3,7,6,2
33,0,372,223,1,3,7.1,23,3,7,6,2
69,0,205,123,1,2,8.0,40,2,6,6,2
26,1,328,131,1,1,7.4,27,2,7,6,2
42,0,221,88,1,1,7.9,38,2,6,6,2
25,1,485,242,1,3,6.6,12,3,8,5,2
39,1,258,129,1,2,7.7,34,2,6,6,2
52,0,211,106,0,1,7.9,39,2,6,6,2
55,1,143,72,0,1,8.3,46,1,5,7,1
56,1,141,78,0,1,8.3,46,1,5,7,1
50,1,154,85,0,1,8.2,45,1,5,7,1
50,0,167,92,0,1,8.2,43,2,6,6,2
41,0,240,132,1,1,7.8,36,2,6,6,2
39,1,238,83,0,1,7.8,36,1,5,7,1
41,0,275,69,0,1,7.6,32,1,6,7,2
35,1,327,82,0,1,7.4,27,1,6,7,2
18,0,411,267,2,2,6.9,19,4,9,4,2
19,1,484,315,2,3,6.6,12,4,9,4,2
44,1,268,161,1,2,7.7,33,2,6,6,2
39,0,200,120,0,2,8.0,40,2,6,6,2
28,1,344,138,1,1,7.3,26,2,7,6,2
13,1,441,220,1,3,6.8,16,3,8,5,2
21,1,514,257,1,3,6.4,9,3,8,5,2
34,0,337,185,1,2,7.3,26,3,7,6,2
22,1,470,258,1,2,6.6,13,3,8,5,2
23,0,483,266,1,2,6.6,12,3,8,5,2
39,1,256,141,1,1,7.7,34,2,6,6,2
13,0,449,247,1,2,6.8,15,3,8,5,2
23,0,494,173,1,2,6.5,11,3,8,5,2
24,1,507,177,1,2,6.5,9,3,8,5,2
26,1,330,82,0,1,7.4,27,1,6,7,2
20,1,463,116,0,1,6.7,14,2,7,6,2
29,1,367,239,2,2,7.2,23,4,8,5,2
60,0,200,130,1,1,8.0,40,2,6,6,2
28,0,393,255,2,2,7.0,21,4,8,5,2
20,1,443,266,1,4,6.8,16,3,8,5,2
22,0,456,274,1,4,6.7,14,3,8,5,2
17,0,420,168,1,1,6.9,18,3,8,5,2
21,1,493,197,1,2,6.5,11,3,8,5,2
31,1,386,154,1,1,7.1,21,2,7,6,2
21,1,519,208,1,2,6.4,8,3,8,5,2
22,0,451,180,1,2,6.7,15,3,8,5,2
22,1,517,258,1,3,6.4,8,3,8,5,2
34,0,329,164,1,2,7.4,27,3,7,6,2
58,0,162,81,0,1,8.2,44,1,5,7,1
28,0,355,178,1,2,7.2,24,3,7,6,2
31,1,368,184,1,2,7.2,23,3,7,6,2
19,1,473,260,1,2,6.6,13,3,8,5,2
22,1,486,267,1,2,6.6,11,3,8,5,2
25,0,510,178,1,2,6.4,9,3,8,5,2
23,0,442,155,1,1,6.8,16,2,7,6,2
42,1,226,56,0,0,7.9,37,1,5,7,1
39,1,239,60,0,1,7.8,36,1,5,7,1
19,1,503,327,2,3,6.5,10,4,9,4,2
22,1,516,335,2,3,6.4,8,4,9,4,2
31,0,339,203,1,3,7.3,26,3,7,6,2
31,0,376,150,1,1,7.1,22,2,7,6,2
30,0,389,156,1,1,7.1,21,2,7,6,2
69,0,141,56,0,0,8.3,46,1,5,7,1
58,1,152,76,0,1,8.2,45,1,5,7,1
27,1,345,172,1,2,7.3,26,3,7,6,2
20,1,489,269,1,2,6.6,11,3,8,5,2
29,0,325,114,0,1,7.4,28,2,6,6,2
17,0,398,139,1,1,7.0,20,2,7,6,2
24,2,482,120,0,1,6.6,12,2,7,6,2
34,1,375,94,0,1,7.1,22,2,6,6,2
44,0,268,67,0,1,7.7,33,1,6,7,2
21,0,440,110,0,1,6.8,16,2,7,6,2
33,0,399,259,2,2,7.0,20,4,9,4,2
26,0,331,215,1,2,7.3,27,3,7,6,2
69,0,175,105,0,1,8.1,42,2,6,6,2
20,1,512,205,1,2,6.4,9,3,8,5,2
22,0,444,178,1,2,6.8,16,3,8,5,2
60,1,168,84,0,1,8.2,43,1,5,7,1
23,0,481,240,1,3,6.6,12,3,8,5,2
45,0,254,127,1,2,7.7,35,2,6,6,2
24,0,507,254,1,3,6.5,9,3,8,5,2
25,0,520,260,1,3,6.4,8,3,8,5,2
33,0,332,166,1,2,7.3,27,3,7,6,2
33,1,385,212,1,2,7.1,22,3,7,6,2
40,1,278,153,1,1,7.6,32,2,7,6,2
19,1,461,161,1,1,6.7,14,2,7,6,2
19,0,474,166,1,1,6.6,13,3,8,5,2
21,0,487,170,1,2,6.6,11,3,8,5,2
21,0,498,124,1,1,6.5,10,2,7,6,2
55,1,211,53,0,0,7.9,39,1,5,7,1
41,0,203,51,0,0,8.0,40,1,5,7,1
17,0,394,256,2,2,7.0,21,4,8,5,2
30,1,347,226,2,2,7.3,25,3,8,5,2
19,1,491,295,1,4,6.5,11,3,8,5,2
35,0,384,230,1,3,7.1,22,3,7,6,2
31,1,397,238,1,3,7.0,20,3,8,5,2
24,0,447,179,1,2,6.8,15,3,8,5,2
44,1,220,88,1,1,7.9,38,2,6,6,2
19,1,484,242,1,3,6.6,12,3,8,5,2
23,1,497,248,1,3,6.5,10,3,8,5,2
21,0,510,255,1,3,6.4,9,3,8,5,2
45,0,200,110,0,1,8.0,40,2,6,6,2
19,0,453,249,1,2,6.7,15,3,8,5,2
19,1,466,256,1,2,6.7,13,3,8,5,2
19,1,477,167,1,1,6.6,12,3,8,5,2
25,1,490,172,1,2,6.6,11,3,8,5,2
28,1,394,98,0,1,7.0,21,2,6,6,2
31,1,350,228,2,2,7.2,25,3,8,5,2
24,2,483,314,2,3,6.6,12,4,9,4,2
20,0,496,322,2,3,6.5,10,4,9,4,2
18,1,449,292,2,3,6.8,15,4,9,4,2
25,0,507,304,1,4,6.5,9,3,8,5,2
29,0,400,240,1,3,7.0,20,3,8,5,2
33,1,343,137,1,1,7.3,26,2,7,6,2
22,1,500,250,1,3,6.5,10,3,8,5,2
22,0,456,251,1,2,6.7,14,3,8,5,2
64,1,169,93,0,1,8.2,43,2,6,6,2
57,1,182,100,0,1,8.1,42,2,6,6,2
22,1,493,173,1,2,6.5,11,3,8,5,2
23,0,506,177,1,2,6.5,9,3,8,5,2
24,0,519,182,1,2,6.4,8,3,8,5,2
29,1,329,82,0,1,7.4,27,1,6,7,2
44,0,246,160,1,1,7.8,35,2,6,6,2
53,1,199,129,1,1,8.0,40,2,6,6,2
37,1,202,121,1,2,8.0,40,2,6,6,2
41,1,215,129,1,2,7.9,38,2,6,6,2
44,1,239,96,1,1,7.8,36,2,6,6,2
42,1,252,101,1,1,7.7,35,2,6,6,2
16,1,445,178,1,2,6.8,16,3,8,5,2
23,0,516,258,1,3,6.4,8,3,8,5,2
28,1,352,194,1,2,7.2,25,3,7,6,2
22,1,485,267,1,2,6.6,12,3,8,5,2
20,0,498,274,1,2,6.5,10,3,8,5,2
35,0,389,136,1,1,7.1,21,2,7,6,2
19,1,441,154,1,1,6.8,16,2,7,6,2
33,0,345,86,0,1,7.3,26,1,6,7,2
19,0,478,120,0,1,6.6,12,2,7,6,2
28,1,371,93,0,1,7.1,23,2,6,6,2
20,1,504,126,1,1,6.5,10,2,7,6,2
20,1,517,129,1,1,6.4,8,2,7,6,2
24,1,502,326,2,3,6.5,10,4,9,4,2
23,0,458,275,1,4,6.7,14,3,8,5,2
24,1,471,283,1,4,6.6,13,3,8,5,2
25,1,495,198,1,2,6.5,10,3,8,5,2
20,1,451,226,1,3,6.7,15,3,8,5,2
69,0,164,82,0,1,8.2,44,1,5,7,1
15,0,417,208,1,3,6.9,18,3,8,5,2
38,1,250,125,1,2,7.8,35,2,6,6,2
19,1,488,268,1,2,6.6,11,3,8,5,2
36,0,261,144,1,1,7.7,34,2,6,6,2
25,1,514,283,1,3,6.4,9,3,8,5,2
16,1,386,212,1,2,7.1,21,3,8,5,2
19,1,444,155,1,1,6.8,16,2,7,6,2
42,1,217,76,0,1,7.9,38,1,5,7,1
24,0,481,120,0,1,6.6,12,2,7,6,2
32,1,374,94,0,1,7.1,23,2,6,6,2
16,0,447,112,0,1,6.8,15,2,7,6,2
19,0,518,337,2,3,6.4,8,4,9,4,2
23,0,450,292,2,3,6.8,15,4,9,4,2
14,0,403,262,2,2,7.0,20,4,9,4,2
15,1,416,270,2,2,6.9,18,4,9,4,2
31,0,354,212,1,3,7.2,25,3,7,6,2
40,1,247,148,1,2,7.8,35,2,6,6,2
24,1,511,204,1,2,6.4,9,3,8,5,2
13,2,383,153,1,1,7.1,22,2,7,6,2
35,0,347,174,1,2,7.3,25,3,7,6,2
66,1,180,90,0,1,8.1,42,2,6,6,2
32,0,384,211,1,2,7.1,22,3,7,6,2
16,0,400,140,1,1,7.0,20,2,7,6,2
40,1,233,82,0,1,7.8,37,1,5,7,1
37,1,246,86,0,1,7.8,35,1,5,7,0
36,1,259,91,0,1,7.7,34,2,6,6,2
21,0,497,124,1,1,6.5,10,2,7,6,2
24,2,510,128,1,1,6.4,9,2,7,6,2
15,1,382,96,0,1,7.1,22,2,6,6,2
23,0,455,114,0,1,6.7,14,2,7,6,2
49,1,153,99,1,1,8.2,45,2,6,6,2
25,1,466,303,2,3,6.7,13,4,9,4,2
22,1,479,311,2,3,6.6,12,4,9,4,2
17,0,430,258,1,3,6.8,17,3,8,5,2
40,1,263,158,1,2,7.7,34,2,6,6,2
20,0,446,178,1,2,6.8,15,3,8,5,2
31,0,339,136,1,1,7.3,26,2,7,6,2
33,0,363,182,1,2,7.2,24,3,7,6,2
34,1,376,188,1,3,7.1,22,3,7,6,2
13,1,449,224,1,3,6.8,15,3,8,5,2
21,0,520,286,1,3,6.4,8,3,8,5,2
24,0,452,249,1,2,6.7,15,3,8,5,2
54,0,165,91,0,1,8.2,44,2,6,6,2
35,1,358,197,1,2,7.2,24,3,7,6,2
25,2,476,167,1,1,6.6,12,3,8,5,2
25,1,489,171,1,2,6.6,11,3,8,5,2
36,0,262,92,0,1,7.7,34,2,6,6,2
29,1,395,138,1,1,7.0,20,2,7,6,2
42,0,273,68,0,1,7.6,33,1,6,7,2
29,0,325,81,0,1,7.4,28,1,6,7,2
30,1,338,84,0,1,7.3,26,1,6,7,2
41,0,229,149,1,1,7.9,37,2,6,6,2
23,2,482,313,2,3,6.6,12,4,9,4,2
42,0,255,166,1,1,7.7,34,3,7,5,2
14,1,446,268,1,4,6.8,15,3,8,5,2
43,1,222,89,1,1,7.9,38,2,6,6,2
18,1,439,220,1,3,6.8,16,3,8,5,2
23,0,512,256,1,3,6.4,9,3,8,5,2
24,1,444,222,1,3,6.8,16,3,8,5,2
14,1,397,198,1,3,7.0,20,3,8,5,2
33,1,335,184,1,2,7.3,26,3,7,6,2
19,0,468,257,1,2,6.7,13,3,8,5,2
16,0,421,232,1,2,6.9,18,3,8,5,2
20,1,492,172,1,2,6.5,11,3,8,5,2
21,1,448,112,0,1,6.8,15,2,7,6,2
35,0,365,237,2,2,7.2,24,4,8,5,2
13,1,438,285,2,3,6.8,16,4,9,4,2
25,0,511,332,2,3,6.4,9,4,9,4,2
20,1,441,265,1,4,6.8,16,3,8,5,2
23,0,478,191,1,2,6.6,12,3,8,5,2
33,0,395,198,1,3,7.0,20,3,8,5,2
23,1,447,224,1,3,6.8,15,3,8,5,2
43,0,231,127,1,1,7.8,37,2,6,6,2
14,1,424,233,1,2,6.9,18,3,8,5,2
29,1,377,207,1,2,7.1,22,3,7,6,2
59,0,208,73,0,1,8.0,39,1,5,7,1
25,0,440,154,1,1,6.8,16,2,7,6,2
20,1,453,159,1,1,6.7,15,2,7,6,2
63,1,164,41,0,0,8.2,44,1,5,7,1
34,0,357,89,0,1,7.2,24,1,6,7,2
24,1,501,326,2,3,6.5,10,4,9,4,2
28,0,394,256,2,2,7.0,21,4,8,5,2
66,1,146,95,1,1,8.3,45,2,6,6,2
57,1,157,94,0,1,8.2,44,2,6,6,2
38,1,230,138,1,2,7.8,37,2,6,6,2
57,1,194,78,1,1,8.0,41,2,6,6,2
20,0,507,203,1,2,6.5,9,3,8,5,2
45,0,210,105,0,1,8.0,39,2,6,6,2
17,1,403,202,1,3,7.0,20,3,8,5,2
31,1,356,178,1,2,7.2,24,3,7,6,2
25,0,487,268,1,2,6.6,11,3,8,5,2
20,0,500,275,1,2,6.5,10,3,8,5,2
28,0,393,216,1,2,7.0,21,3,8,5,2
